CARLANTINO;2017;103.8;46;43.6;36.4;84.6;5.8;33.6;13.4;36;40;139.6;38.8 
CELENZA_VALFORTORE;2017;109.8;53.2;43.6;39.8;59.6;4.6;38.6;15.8;34.8;41.6;146.6;44.2 
VOLTURARA_APPULA;2017;183.4;57.2;83.8;49.8;57.2;9.4;71.8;24.4;90.4;54.8;139;64.6 
CASALNUOVO_MONTEROTARO;2017;118.2;58.6;52.8;36;57.8;1;24.6;15.4;37.2;37.6;139.4;44 
RIPALTA;2017;41.4;26.2;17.6;54.2;32.6;0;21.4;2.8;75.2;36.8;120;29.6 
SACCIONE_SS16TER;2017;NA;NA;NA;NA;42.4;0.4;63;6;76.8;45.2;168.2;40.2 
LESINA;2017;96.6;35.6;27.6;43.2;35.4;5.4;38.2;8.8;96.2;59.6;146;41.8 
POGGIO_IMPERIALE;2017;70.6;34.4;25.2;56.6;37;4.2;6;9.8;125.4;60.4;127.2;30.8 
SANNICANDRO_GARGANICO;2017;127.6;62.2;31.6;40.2;52.6;3.8;9.4;10.2;150;66.4;111;89.6 
CAGNANO_VARANO;2017;124;69;26.8;62.2;45.4;7;43.8;13;103;62.2;107.2;69.8 
CARPINO;2017;164.8;71.6;33.2;60.8;84.6;14.6;54.8;18.8;133;52;138.8;66.6 
ISOLE_TREMITI_(SAN_NICOLA);2017;124.8;23.2;39.4;25.2;31.2;0;18.4;11.8;107.6;46.6;136.2;65.8 
VICO_DEL_GARGANO;2017;199.8;108.8;45.2;46.2;65;3.6;19.2;34.6;82.8;84.6;207.2;97.8 
VIESTE;2017;100.8;53.2;21.6;21.8;40.8;8.6;5.2;13;66.6;63.8;120;35.8 
PESCHICI;2017;139.8;60.4;14.4;20.6;34.8;14.4;31;11.2;52.4;40.2;158.8;65.6 
RODI_GARGANICO;2017;122;52.8;21;30;44;8.6;41;5.4;121;43.8;169.6;72.6 
BOSCO_UMBRA;2017;284.8;100.2;52.2;58.2;94.2;11.2;17.8;48.6;154.4;97.8;287.2;94.4 
MONTE_SANT'ANGELO;2017;118.2;47.2;15.2;34.8;30.2;1.4;42.2;16.6;136.4;47;108;28 
SAN_PAOLO_CIVITATE;2017;83.4;38;53.8;52.4;33.6;13;15.4;14;63.2;34.2;131.4;45 
TORREMAGGIORE;2017;73.4;35.4;48.4;33.2;37.2;0.8;4.8;9.6;46.6;37.2;106.2;30.4 
SAN_SEVERO;2017;71.2;39.2;32.6;34.2;41.4;9;10.6;6.8;33.6;21.2;91.8;26.8 
APRICENA;2017;87.6;53.6;40.8;57.4;33;14.4;2.8;21;101.2;49.6;124.8;55.6 
SAN_MARCO_IN_LAMIS;2017;138;77.4;43.4;77.6;64.8;3.8;31.4;16;319.8;96.8;119.6;111.8 
CANDELARO_SS272;2017;NA;NA;NA;NA;50.2;21.6;8.2;16.2;123;22.4;70.8;42.4 
PIETRAMONTECORVINO;2017;159.6;53.6;76.4;45.2;52.8;27.4;61.8;11.6;42.2;48;114;78 
VOLTURINO;2017;141.2;57.8;57.4;57.2;65.6;13.2;52.6;12.4;79.6;44;115;65.6 
ALBERONA;2017;154.2;66.4;62.6;60.4;97.6;10.6;21.6;8.2;66.6;39.2;125.2;75.6 
TERTIVERI;2017;150.6;58;46.8;60.2;92.4;16.2;63.4;10.4;117.4;29.2;101.4;56.8 
ORTO_DI_ZOLFO;2017;182.4;86.2;45.2;68.2;110.2;25.8;30.4;5.2;68.8;29.2;188.6;102 
LUCERA;2017;94.4;41.2;21.6;24.8;56.8;0.6;20.8;3.6;84.8;18;73.4;28 
SALSOLA_SS16;2017;NA;NA;NA;NA;NA;0.8;21;26.8;110.8;15.6;75.2;21 
BICCARI;2017;141.2;59.8;49.6;48.8;75.4;10.2;19.2;4;79.2;28.2;124.6;114.2 
