SiteID;SiteCode;SiteName;Elevation;Longitude;Latitude;altro_nome1;altro_nome2
27;409;CANOSA_DI_PUGLIA;154;16.0619777778;41.2240277778;Canosa_di_puglia;Canosa_di_puglia
28;84;CARLANTINO;582;14.9794611111;41.5907861111;Carlantino;Carlantino
29;91;CASALNUOVO_MONTEROTARO;417;15.1;41.6166666667;Casalnuovo_monterotaro;Casalnuovo_monterotaro
30;42;CASAMASSIMA;229;16.9179527778;40.9540083333;Casamassima;Casamassima
31;53;CASSANO_MURGE;380;16.7709222222;40.8897222222;Cassano_murge;Cassano_delle_murge
32;410;CASTEL_DEL_MONTE;543;16.273875;41.0785027778;Castel_del_monte;Castel_del_monte
33;411;CASTELLANA_GROTTE;290;17.1654083333;40.8814805556;Castellana_grotte;Castellana_grotte
34;51;CASTELLANETA;236;16.932325;40.6288888889;Castellaneta;Castellaneta
35;412;CASTELLUCCIO_DEI_SAURI;284;15.4762083333;41.3026555556;Castelluccio_dei_sauri;Castelluccio_dei_sauri
36;474;CEGLIE_MESSAPICA;286;17.5182027778;40.6452305556;Ceglie_messapica;Ceglie_messapica
37;85;CELENZA_VALFORTORE;592;14.9994027778;41.5649972222;Celenza_valfortore;Celenza_valfortore
38;21;CERIGNOLA;134;15.9050277778;41.2634416667;Cerignola;Cerignola
39;488;COLLEPASSO;120;18.1676194444;40.0725666667;Collepasso;Collepasso
40;469;CONVERSANO;212;17.1140694444;40.9631777778;Conversano;Conversano
41;489;COPERTINO;48;18.0515861111;40.2684027778;Copertino;Copertino
42;16;CORATO;249;16.4133194444;41.1527833333;Corato;Corato
43;413;CORIGLIANO_D_OTRANTO;105;18.2557305556;40.1641277778;Corigliano_d_otranto;Corigliano_d'otranto
44;498;CRISPIANO;264;17.2358083333;40.5990027778;Crispiano;Crispiano
45;64;DELICETO;573;15.3890777778;41.2220472222;Deliceto;Deliceto
46;414;DIGA_CELONE;170;15.4360361111;41.4243805556;Diga_celone;Diga_torrebianca_sul_torrente_celone
