CARLANTINO;2013;49;59.6;44.2;28.2;99;16.6;18.6;35.6;106.8;40.4;147;177 
CELENZA_VALFORTORE;2013;44.4;61.6;46.6;36;108.2;20;17.6;39.8;77.6;41.8;135;164.6 
VOLTURARA_APPULA;2013;63;83.2;64.2;18;100;23.6;30.2;69;47;51.2;154.2;129.8 
CASALNUOVO_MONTEROTARO;2013;55;63.4;45.6;30.6;112.8;20;32;51.8;73.2;38.6;150.4;186.2 
RIPALTA;2013;NA;NA;NA;NA;NA;NA;16;22.2;36.6;50.6;NA;106.4 
LESINA;2013;63.2;96.4;50.2;27;140.2;17.6;44.8;31.6;37.8;28.4;149.2;114.8 
POGGIO_IMPERIALE;2013;NA;NA;NA;NA;NA;13.2;21.6;19.2;29.4;40.2;167;107.8 
SANNICANDRO_GARGANICO;2013;71.2;167.4;71.2;28;168.8;85.2;42.6;23.2;42.6;39.4;133.2;146.8 
CAGNANO_VARANO;2013;52.6;144.4;64;18;134;43.6;73;48.8;43.6;42;155.8;102.2 
ISOLE_TREMITI;2013;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA 
VICO_DEL_GARGANO;2013;45.2;168.8;128.2;44.2;150.6;165.2;32.8;37;43.2;34.2;238.8;175.8 
VIESTE;2013;21.8;45.6;56.4;15.6;79.8;26.4;5;46;25.8;152.8;182.4;61 
BOSCO_UMBRA;2013;52.8;131.4;111.4;28.2;246.2;68.6;44.4;37.4;53.4;62;293;170.8 
MONTE_SANT'ANGELO;2013;37.6;38.6;87.8;26.2;71.2;16;28.8;80.2;44.8;56.4;205.4;85.2 
SAN_PAOLO_CIVITATE;2013;66.6;67.2;45.2;25.2;80.2;4.8;45;22;45;64.6;191.4;116.2 
TORREMAGGIORE;2013;60.6;54.8;38.8;18.8;65.8;5.2;33.2;22;65.4;45.2;45.4;99 
SAN_SEVERO;2013;47;55;40.2;19.4;80;6;14.8;13.2;35.2;21.6;47;30.2 
GA;2013;36.2;40.6;40.2;23.8;107.6;7;13.4;35;55.4;39.6;147.6;112.8 
SAN_MARCO_IN_LAMIS;2013;108.4;176.4;118;49.4;74;37.8;41.6;101.8;46.2;70;258.4;90.8 
i_PIETRAMONTECORVINO;2013;65.4;105;76.6;30.6;102.8;40.4;11.4;44.4;47.4;38.4;157.2;146.6 
PIETRAMONTECORVINO_(AQP);2013;45.4;48;37;13.8;48.8;34.8;10;28.6;17.8;NA;NA;NA 
VOLTURINO;2013;63.6;69.2;66.2;20.8;99.8;23.6;25;58.2;42;42.2;162.4;152.4 
