SiteName;Elevation;Longitude;Latitude;SiteID;County;SiteCode;State;Comments
CELENZA_VALFORTORE;592;14.9994027778;41.5649972222;37;Puglia;37;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CELLINO_SAN_MARCO;65;17.9666666667;40.4666666667;NA;NA;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
CERIGNOLA;134;15.9050277778;41.2634416667;38;Puglia;38;Italy;NA ** Serie fornita da Centro Funzionale Puglia
COLLEPASSO;120;18.1676194444;40.0725666667;39;Puglia;39;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CONVERSANO;212;17.1140694444;40.9631777778;40;Puglia;40;Italy;NA ** Serie fornita da Centro Funzionale Puglia
COPERTINO;48;18.0515861111;40.2684027778;41;Puglia;41;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CORATO;249;16.4133194444;41.1527833333;42;Puglia;42;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CORIGLIANO_D_OTRANTO;105;18.2557305556;40.1641277778;43;Puglia;43;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CRISPIANO;264;17.2358083333;40.5990027778;44;Puglia;44;Italy;NA ** Serie fornita da Centro Funzionale Puglia
DELICETO;573;15.3890777778;41.2220472222;45;Puglia;45;Italy;NA ** Serie fornita da Centro Funzionale Puglia
DIGA_CELONE;170;15.4360361111;41.4243805556;46;Puglia;46;Italy;NA ** Serie fornita da Centro Funzionale Puglia
DIGA_OSENTO;503;15.5004638889;41.0033722222;47;Puglia;47;Italy;NA ** Serie fornita da Centro Funzionale Puglia
DIGA_RENDINA;214;15.7943916667;41.0497722222;48;Puglia;48;Italy;NA ** Serie fornita da Centro Funzionale Puglia
FAETO;776;15.1631972222;41.3220694444;49;Puglia;49;Italy;NA ** Serie fornita da Centro Funzionale Puglia
FASANO;121;17.3583333333;40.8380388889;50;Puglia;50;Italy;NA ** Serie fornita da Centro Funzionale Puglia
FOGGIA_(IST._SPER.LE_COLTURE_FORAGG.);84;15.5012777778;41.4602277778;51;Puglia;51;Italy;NA ** Serie fornita da Centro Funzionale Puglia
FOGGIA_(OSSERVATORIO);82;15.5427055556;41.4607444444;52;Puglia;52;Italy;NA ** Serie fornita da Centro Funzionale Puglia
FONTE_ROSA;25;15.7743;41.434275;53;Puglia;53;Italy;NA ** Serie fornita da Centro Funzionale Puglia
FORENZA;753;15.8481472222;40.8586277778;54;Puglia;54;Italy;NA ** Serie fornita da Centro Funzionale Puglia
FORTORE_A_RIPALTA;19;15.2666638889;41.8597583333;NA;NA;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
GALATINA;84;18.1715055556;40.1720138889;55;Puglia;55;Italy;NA ** Serie fornita da Centro Funzionale Puglia
GALLIPOLI;31;17.9944777778;40.0545055556;56;Puglia;56;Italy;NA ** Serie fornita da Centro Funzionale Puglia
GINOSA;272;16.7574861111;40.5767722222;57;Puglia;57;Italy;NA ** Serie fornita da Centro Funzionale Puglia
GINOSA_MARINA;20;16.8844388889;40.4266027778;58;Puglia;58;Italy;NA ** Serie fornita da Centro Funzionale Puglia
GIOIA_DEL_COLLE;377;16.9230694444;40.8005027778;59;Puglia;59;Italy;NA ** Serie fornita da Centro Funzionale Puglia
GIOVINAZZO;25;16.6711055556;41.1854555556;60;Puglia;60;Italy;NA ** Serie fornita da Centro Funzionale Puglia
GRAVINA_DI_PUGLIA;401;16.4138916667;40.8251861111;NA;NA;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
GROTTAGLIE;140;17.4413722222;40.5393361111;61;Puglia;61;Italy;NA ** Serie fornita da Centro Funzionale Puglia
GRUMO_APPULA;191;16.7103611111;41.0117;62;Puglia;62;Italy;NA ** Serie fornita da Centro Funzionale Puglia
ISOLE_TREMITI;35;15.5114944444;42.1251638889;NA;NA;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
LACEDONIA;717;15.4258194444;41.0533444444;63;Puglia;63;Italy;NA ** Serie fornita da Centro Funzionale Puglia
LAGOPESOLE;782;15.7358388889;40.8030388889;64;Puglia;64;Italy;NA ** Serie fornita da Centro Funzionale Puglia
LATERZA;347;16.8;40.6166666667;NA;NA;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
LATIANO;107;17.7098194444;40.5485638889;65;Puglia;65;Italy;NA ** Serie fornita da Centro Funzionale Puglia
LAVELLO;328;15.7951944444;41.0507777778;66;Puglia;66;Italy;NA ** Serie fornita da Centro Funzionale Puglia
LECCE;50;18.1675;40.3582944444;67;Puglia;67;Italy;NA ** Serie fornita da Centro Funzionale Puglia
LESINA;13;15.3532472222;41.862225;68;Puglia;68;Italy;NA ** Serie fornita da Centro Funzionale Puglia
LIZZANO;63;17.4487333333;40.3873638889;69;Puglia;69;Italy;NA ** Serie fornita da Centro Funzionale Puglia
