CARLANTINO;2018;22.6;103.6;77.4;15.2;151;70.8;42.6;78.4;37.8;176;89.8;31.8 
CELENZA_VALFORTORE;2018;21.2;106.6;86.8;13.8;119;58.2;32.2;112.8;41.6;159.4;85;43.2 
VOLTURARA_APPULA;2018;18.8;108.2;101.8;10;142;61.2;30;118;52.6;167.6;87.6;56.2 
CASALNUOVO_MONTEROTARO;2018;24.6;118.6;105.6;18.2;130.4;88.6;57.2;110.2;82.2;172.8;85.6;47.6 
RIPALTA;2018;20.4;53;47.8;4.8;76.4;37.8;14.6;65;10.8;65.8;70;85 
SACCIONE_SS16TER;2018;19.4;81.8;63.2;7;45.8;27.6;25.2;130.4;13.4;90.4;96;63 
LESINA;2018;39;82.2;60.6;5.2;69.8;53.2;20.4;128;20.4;75.8;69.6;83 
POGGIO_IMPERIALE;2018;40.4;70.4;58.2;7;65.8;43.6;13.8;58.8;34.2;69.6;66;77.4 
SANNICANDRO_GARGANICO;2018;62.6;114.6;96.4;10.4;116.2;32;18.2;264.6;17.2;154.8;61.2;104.2 
CAGNANO_VARANO;2018;68.8;87.6;98.2;7.4;139.4;77.8;19.8;140.2;30.6;109.6;91.2;84.2 
CARPINO;2018;57.8;98.6;95.4;4.4;77.4;137;59;84.4;28.6;101.6;87.8;85.8 
ISOLE_TREMITI_(SAN_NICOLA);2018;70.6;84.6;76.8;9.2;55;14.4;51.4;50;21;62.2;42;70.6 
VICO_DEL_GARGANO;2018;47.4;130.8;142;3.8;68;88;69.8;109.8;42.4;130.2;97.4;102 
VIESTE;2018;29.6;83.8;109.2;7.2;35;48.6;44.4;46;2;100.2;80;43 
PESCHICI;2018;34.6;81.6;78;1.6;26.6;42.2;15.4;141.6;26.6;105;84.4;49.8 
RODI_GARGANICO;2018;53.8;93.6;94.6;1;36.8;93;48.2;191.2;20.2;73;72.8;57 
BOSCO_UMBRA;2018;76.4;208.8;179;10.4;143.8;111.6;70.4;89.6;27.6;136.4;123.8;116.2 
MONTE_SANT'ANGELO;2018;40.8;79;71.6;8.4;91.4;80.8;17.2;57;5.6;95.4;72.6;48.4 
SAN_PAOLO_CIVITATE;2018;28.8;84.4;74.8;11.8;97.8;94.6;16.8;38;37.6;114.4;76.4;93.6 
TORREMAGGIORE;2018;28.4;72.2;66.8;11.2;124.4;110.2;20.2;41.2;22.2;88;68.6;74.4 
SAN_SEVERO;2018;36.6;73.6;58.6;6.8;89;79.6;17.4;34;30.4;96;56;48.4 
APRICENA;2018;57.6;96;76.2;6.4;111.2;55.2;9.2;65.2;29.2;109.2;42;27 
SAN_MARCO_IN_LAMIS;2018;85.6;137.6;124;10.4;126.8;90;77.2;126.2;28.4;121.2;79;130.8 
CANDELARO_SS272;2018;53.2;97.4;54.6;6.4;106.2;74.6;26.8;89.6;5.4;143.2;45.6;57.6 
PIETRAMONTECORVINO;2018;24.8;120.4;113;20.2;108;80.8;26.8;27.8;61;148.6;85.6;56.4 
VOLTURINO;2018;24.8;115;104.2;6.6;148.6;61.6;33.2;77.2;42.2;148.4;35.8;37.8 
ALBERONA;2018;35.2;115;108;6;190;87.4;50.6;62.4;49.2;171.4;82.8;45.2 
TERTIVERI;2018;29.8;93;80.4;6.2;191.8;97.6;30.2;36.8;29.8;111.8;92;44 
ORTO_DI_ZOLFO;2018;69.8;171;176.2;13.8;158.4;113.2;67.2;55.6;79.6;225.4;133.8;49.4 
LUCERA;2018;27;69.8;56.6;11.2;97.8;111.6;14.2;9.2;33;91.4;78.4;43.6 
SALSOLA_SS16;2018;32.6;50.4;50.6;8.8;68;67.2;19.4;33.4;25.2;91.4;64.4;35.6 
BICCARI;2018;43.4;132.4;129.8;7;117.8;84.4;30.8;22.2;58.2;121.4;109.8;39.2 
FAETO;2018;74.6;138.2;166.6;18.4;152.2;99;55.2;183.2;42.4;122.2;129.4;46.6 
TROIA;2018;35.8;83.4;87.2;9.2;100.6;105.6;51.8;58.6;26.2;82;84.8;34 
DIGA_TORREBIANCA_SUL_TORRENTE_CELONE;2018;27.6;50.8;61.8;9;90.6;90.8;10.8;33.8;21.2;84.8;72.6;35.6 
FOGGIA_(OSSERVATORIO);2018;27;51.6;60.8;6;59.4;48;31.4;69.6;30.6;103.8;69.2;36.6 
FOGGIA_(IST._SPERIM._PER_CEREALICOLTURA);2018;35.6;60.6;65.4;6.2;113.2;104.6;21.8;67.6;49;103.6;82.4;40.4 
SAN_GIOVANNI_ROTONDO;2018;109.2;111;124.4;7.2;131;86;22.8;98;27.8;91.2;75.8;143.2 
MANFREDONIA_(BONIFICA_SIPONTINA);2018;33.6;46.2;52.8;15;79.2;108.2;35.2;16.4;3.8;78;49.8;52.8 
FONTE_ROSA;2018;27.6;34.4;59;10.2;79.8;59.6;17.2;9.8;16;94.2;73;41.8 
CERIGNOLA;2018;29.6;41;93.8;21;89.6;56.6;56.2;33.4;46.2;95;47.6;63.8 
MASSERIA_SANTA_CHIARA;2018;21;43.2;92;28.6;59.8;88.8;29.8;2.4;10.8;76.6;60.4;29.4 
SAVIGNANO_IRPINO;2018;55.8;78.6;91.6;9.8;108.2;87;23.2;146.8;28.2;73.4;120.6;32.6 
MONTELEONE_DI_PUGLIA;2018;67.4;112.6;154.2;24.8;99.4;60;29.8;102;45.2;69.8;104.6;44 
ANZANO_DI_PUGLIA;2018;58.2;89.8;93.2;18.6;138.2;48.8;10.8;132.8;71;71.6;95.8;35 
DELICETO;2018;40;71;92.8;14;127;20.4;23.6;195;71;59;77;32 
PANNI;2018;53.2;103;117.8;11.2;152.8;62.6;44.2;215;62.4;98.4;35.2;15.2 
ORSARA_DI_PUGLIA;2018;58.6;126.6;138;34;156;87.4;28.4;111;29.4;127.4;134;45.2 
BOVINO;2018;54;115;141.2;16.4;85.6;17;26.4;125.2;73.8;113;100.4;46.8 
